"month_last","donation_count","total_volume","month_first","result","age","freq","log_freq","sqrt_freq","donation_score","log_score","first_time","log_recency","sqrt_recency"
2,2,500,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,2,500,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,11,2750,46,0,44,4,1.6094379124341,2,484,6.18414889093748,0,1.09861228866811,1.4142135623731
2,11,2750,46,1,44,4,1.6094379124341,2,484,6.18414889093748,0,1.09861228866811,1.4142135623731
2,6,1500,22,0,20,3.33333333333333,1.46633706879343,1.82574185835055,120,4.79579054559674,0,1.09861228866811,1.4142135623731
4,5,1250,14,1,10,2,1.09861228866811,1.4142135623731,50,3.93182563272433,0,1.6094379124341,2
4,19,4750,69,1,65,3.42105263157895,1.48637781967687,1.84960877797953,1235,7.11963563801764,0,1.6094379124341,2
4,8,2000,26,1,22,2.75,1.32175583998232,1.6583123951777,176,5.17614973257383,0,1.6094379124341,2
2,7,1750,28,1,26,3.71428571428571,1.55059741241117,1.92724822331886,182,5.20948615284142,0,1.09861228866811,1.4142135623731
3,6,1500,21,0,18,3,1.38629436111989,1.73205080756888,108,4.69134788222914,0,1.38629436111989,1.73205080756888
2,8,2000,35,1,33,4.125,1.63413052502447,2.03100960115899,264,5.57972982598622,0,1.09861228866811,1.4142135623731
4,5,1250,16,1,12,2.4,1.22377543162212,1.54919333848297,60,4.11087386417331,0,1.6094379124341,2
3,16,4000,74,0,71,4.4375,1.6933193964148,2.10653744329409,1136,7.03614849375054,0,1.38629436111989,1.73205080756888
2,4,1000,14,1,12,3,1.38629436111989,1.73205080756888,48,3.89182029811063,0,1.09861228866811,1.4142135623731
0,2,500,4,0,4,2,1.09861228866811,1.4142135623731,8,2.19722457733622,0,0,0
4,7,1750,25,0,21,3,1.38629436111989,1.73205080756888,147,4.99721227376411,0,1.6094379124341,2
1,9,2250,51,0,50,5.55555555555556,1.8803128665695,2.35702260395516,450,6.11146733950268,0,0.693147180559945,1
2,4,1000,16,0,14,3.5,1.50407739677627,1.87082869338697,56,4.04305126783455,0,1.09861228866811,1.4142135623731
2,4,1000,16,0,14,3.5,1.50407739677627,1.87082869338697,56,4.04305126783455,0,1.09861228866811,1.4142135623731
4,17,4250,71,1,67,3.94117647058824,1.5976034547871,1.98523965066897,1139,7.03878354138854,0,1.6094379124341,2
2,2,500,4,0,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731
2,2,500,4,1,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731
2,2,500,4,1,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731
2,4,1000,16,1,14,3.5,1.50407739677627,1.87082869338697,56,4.04305126783455,0,1.09861228866811,1.4142135623731
2,2,500,4,0,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731
2,2,500,4,0,2,1,0.693147180559945,1,4,1.6094379124341,0,1.09861228866811,1.4142135623731
2,4,1000,16,0,14,3.5,1.50407739677627,1.87082869338697,56,4.04305126783455,0,1.09861228866811,1.4142135623731
2,4,1000,16,0,14,3.5,1.50407739677627,1.87082869338697,56,4.04305126783455,0,1.09861228866811,1.4142135623731
2,4,1000,16,0,14,3.5,1.50407739677627,1.87082869338697,56,4.04305126783455,0,1.09861228866811,1.4142135623731
2,6,1500,28,1,26,4.33333333333333,1.67397643357167,2.08166599946613,156,5.05624580534831,0,1.09861228866811,1.4142135623731
2,6,1500,28,0,26,4.33333333333333,1.67397643357167,2.08166599946613,156,5.05624580534831,0,1.09861228866811,1.4142135623731
4,2,500,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,2,500,4,0,0,0,0,0,0,0,1,1.6094379124341,2
2,7,1750,35,1,33,4.71428571428571,1.74296930505862,2.17124059336724,231,5.44673737166631,0,1.09861228866811,1.4142135623731
4,2,500,4,1,0,0,0,0,0,0,1,1.6094379124341,2
4,2,500,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,2,500,4,0,0,0,0,0,0,0,1,1.6094379124341,2
12,11,2750,23,0,11,1,0.693147180559945,1,121,4.80402104473326,0,2.56494935746154,3.46410161513775
3,17,4250,86,0,83,4.88235294117647,1.77195684193188,2.20960470246976,1411,7.25276241805319,0,1.38629436111989,1.73205080756888
4,9,2250,38,1,34,3.77777777777778,1.56397553835734,1.9436506316151,306,5.7268477475872,0,1.6094379124341,2
4,8,2000,34,1,30,3.75,1.55814461804655,1.93649167310371,240,5.48479693349065,0,1.6094379124341,2
4,9,2250,40,0,36,4,1.6094379124341,2,324,5.78382518232974,0,1.6094379124341,2
2,5,1250,26,0,24,4.8,1.75785791755237,2.19089023002066,120,4.79579054559674,0,1.09861228866811,1.4142135623731
6,17,4250,70,0,64,3.76470588235294,1.56123581061622,1.94028500029066,1088,6.99301512293296,0,1.94591014905531,2.44948974278318
0,8,2000,59,0,59,7.375,2.12525107771113,2.71569512280005,472,6.15909538849193,0,0,0
2,3,750,14,0,12,4,1.6094379124341,2,36,3.61091791264422,0,1.09861228866811,1.4142135623731
2,10,2500,64,0,62,6.2,1.97408102602201,2.48997991959775,620,6.43133108193348,0,1.09861228866811,1.4142135623731
4,9,2250,46,0,42,4.66666666666667,1.73460105538811,2.16024689946929,378,5.93753620508243,0,1.6094379124341,2
4,5,1250,23,0,19,3.8,1.56861591791385,1.94935886896179,95,4.56434819146784,0,1.6094379124341,2
4,8,2000,40,1,36,4.5,1.70474809223843,2.12132034355964,288,5.66642668811243,0,1.6094379124341,2
2,12,3000,82,0,80,6.66666666666667,2.03688192726104,2.58198889747161,960,6.86797440897029,0,1.09861228866811,1.4142135623731
11,24,6000,64,0,53,2.20833333333333,1.16575159150574,1.48604620834392,1272,7.14913159855741,0,2.484906649788,3.3166247903554
2,7,1750,46,1,44,6.28571428571429,1.98591548366901,2.50713268211203,308,5.73334127689775,0,1.09861228866811,1.4142135623731
4,11,2750,61,0,57,5.18181818181818,1.82161243237774,2.27636073191798,627,6.4425401664682,0,1.6094379124341,2
1,7,1750,57,0,56,8,2.19722457733622,2.82842712474619,392,5.97380961186926,0,0.693147180559945,1
2,11,2750,79,1,77,7,2.07944154167984,2.64575131106459,847,6.7428806357919,0,1.09861228866811,1.4142135623731
2,3,750,16,1,14,4.66666666666667,1.73460105538811,2.16024689946929,42,3.76120011569356,0,1.09861228866811,1.4142135623731
4,5,1250,26,1,22,4.4,1.68639895357023,2.0976176963403,110,4.70953020131233,0,1.6094379124341,2
2,6,1500,41,1,39,6.5,2.01490302054226,2.54950975679639,234,5.45958551414416,0,1.09861228866811,1.4142135623731
2,5,1250,33,1,31,6.2,1.97408102602201,2.48997991959775,155,5.04985600724954,0,1.09861228866811,1.4142135623731
2,4,1000,26,0,24,6,1.94591014905531,2.44948974278318,96,4.57471097850338,0,1.09861228866811,1.4142135623731
2,5,1250,34,0,32,6.4,2.00148000021012,2.5298221281347,160,5.08140436498446,0,1.09861228866811,1.4142135623731
4,8,2000,46,1,42,5.25,1.83258146374831,2.29128784747792,336,5.82008293035236,0,1.6094379124341,2
4,8,2000,48,1,44,5.5,1.87180217690159,2.34520787991171,352,5.8664680569333,0,1.6094379124341,2
2,2,500,10,1,8,4,1.6094379124341,2,16,2.83321334405622,0,1.09861228866811,1.4142135623731
4,5,1250,28,0,24,4.8,1.75785791755237,2.19089023002066,120,4.79579054559674,0,1.6094379124341,2
2,2,500,10,0,8,4,1.6094379124341,2,16,2.83321334405622,0,1.09861228866811,1.4142135623731
2,11,2750,88,0,86,7.81818181818182,2.17681570570501,2.79610118167813,946,6.85329909318608,0,1.09861228866811,1.4142135623731
2,3,750,19,0,17,5.66666666666667,1.89711998488588,2.38047614284762,51,3.95124371858143,0,1.09861228866811,1.4142135623731
2,5,1250,37,0,35,7,2.07944154167984,2.64575131106459,175,5.17048399503815,0,1.09861228866811,1.4142135623731
9,5,1250,19,0,10,2,1.09861228866811,1.4142135623731,50,3.93182563272433,0,2.30258509299405,3
2,2,500,11,0,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,1.09861228866811,1.4142135623731
2,9,2250,74,0,72,8,2.19722457733622,2.82842712474619,648,6.47543271670409,0,1.09861228866811,1.4142135623731
4,3,750,16,0,12,4,1.6094379124341,2,36,3.61091791264422,0,1.6094379124341,2
4,3,750,16,0,12,4,1.6094379124341,2,36,3.61091791264422,0,1.6094379124341,2
4,2,500,9,1,5,2.5,1.25276296849537,1.58113883008419,10,2.39789527279837,0,1.6094379124341,2
6,3,750,14,0,8,2.66666666666667,1.29928298413026,1.63299316185545,24,3.2188758248682,0,1.94591014905531,2.44948974278318
2,2,500,11,0,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,1.09861228866811,1.4142135623731
2,2,500,11,1,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,1.09861228866811,1.4142135623731
2,2,500,11,0,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,1.09861228866811,1.4142135623731
2,7,1750,58,1,56,8,2.19722457733622,2.82842712474619,392,5.97380961186926,0,1.09861228866811,1.4142135623731
2,1,250,2,1,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,1,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,1,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,1,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
2,1,250,2,0,0,0,0,0,0,0,1,1.09861228866811,1.4142135623731
11,10,2500,35,0,24,2.4,1.22377543162212,1.54919333848297,240,5.48479693349065,0,2.484906649788,3.3166247903554
11,4,1000,16,1,5,1.25,0.810930216216329,1.11803398874989,20,3.04452243772342,0,2.484906649788,3.3166247903554
4,6,1500,41,1,37,6.16666666666667,1.96944064646551,2.48327740429189,222,5.40717177146012,0,1.6094379124341,2
2,3,750,22,0,20,6.66666666666667,2.03688192726104,2.58198889747161,60,4.11087386417331,0,1.09861228866811,1.4142135623731
4,4,1000,26,1,22,5.5,1.87180217690159,2.34520787991171,88,4.48863636973214,0,1.6094379124341,2
10,4,1000,16,0,6,1.5,0.916290731874155,1.22474487139159,24,3.2188758248682,0,2.39789527279837,3.16227766016838
2,4,1000,35,0,33,8.25,2.22462355152433,2.87228132326901,132,4.89034912822175,0,1.09861228866811,1.4142135623731
4,12,3000,88,0,84,7,2.07944154167984,2.64575131106459,1008,6.91671502035361,0,1.6094379124341,2
13,8,2000,26,0,13,1.625,0.965080896043587,1.2747548783982,104,4.65396035015752,0,2.63905732961526,3.60555127546399
4,5,1250,34,0,30,6,1.94591014905531,2.44948974278318,150,5.01727983681492,0,1.6094379124341,2
4,5,1250,35,1,31,6.2,1.97408102602201,2.48997991959775,155,5.04985600724954,0,1.6094379124341,2
4,7,1750,52,0,48,6.85714285714286,2.06142303617716,2.61861468283191,336,5.82008293035236,0,1.6094379124341,2
4,7,1750,52,0,48,6.85714285714286,2.06142303617716,2.61861468283191,336,5.82008293035236,0,1.6094379124341,2
2,2,500,14,0,12,6,1.94591014905531,2.44948974278318,24,3.2188758248682,0,1.09861228866811,1.4142135623731
2,5,1250,47,1,45,9,2.30258509299405,3,225,5.42053499927229,0,1.09861228866811,1.4142135623731
9,8,2000,38,1,29,3.625,1.53147637096439,1.90394327646598,232,5.4510384535657,0,2.30258509299405,3
4,6,1500,47,0,43,7.16666666666667,2.10006082888257,2.67706306736817,258,5.55682806169954,0,1.6094379124341,2
9,9,2250,45,0,36,4,1.6094379124341,2,324,5.78382518232974,0,2.30258509299405,3
4,6,1500,52,0,48,8,2.19722457733622,2.82842712474619,288,5.66642668811243,0,1.6094379124341,2
4,7,1750,58,0,54,7.71428571428571,2.164963715118,2.77746029931765,378,5.93753620508243,0,1.6094379124341,2
6,2,500,11,1,5,2.5,1.25276296849537,1.58113883008419,10,2.39789527279837,0,1.94591014905531,2.44948974278318
11,9,2250,38,0,27,3,1.38629436111989,1.73205080756888,243,5.4971682252932,0,2.484906649788,3.3166247903554
2,2,500,16,0,14,7,2.07944154167984,2.64575131106459,28,3.36729582998647,0,1.09861228866811,1.4142135623731
2,7,1750,76,0,74,10.5714285714286,2.44853900561713,3.25137333621173,518,6.25190388316589,0,1.09861228866811,1.4142135623731
11,6,1500,27,0,16,2.66666666666667,1.29928298413026,1.63299316185545,96,4.57471097850338,0,2.484906649788,3.3166247903554
11,3,750,14,0,3,1,0.693147180559945,1,9,2.30258509299405,0,2.484906649788,3.3166247903554
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,1,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,1,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,3,750,24,0,20,6.66666666666667,2.03688192726104,2.58198889747161,60,4.11087386417331,0,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
4,1,250,4,0,0,0,0,0,0,0,1,1.6094379124341,2
10,8,2000,39,0,29,3.625,1.53147637096439,1.90394327646598,232,5.4510384535657,0,2.39789527279837,3.16227766016838
14,7,1750,26,0,12,1.71428571428571,0.998528830111127,1.30930734141595,84,4.44265125649032,0,2.70805020110221,3.74165738677394
8,10,2500,63,0,55,5.5,1.87180217690159,2.34520787991171,550,6.31173480915291,0,2.19722457733622,2.82842712474619
4,2,500,14,0,10,5,1.79175946922805,2.23606797749979,20,3.04452243772342,0,1.6094379124341,2
2,4,1000,43,0,41,10.25,2.42036812865043,3.20156211871642,164,5.10594547390058,0,1.09861228866811,1.4142135623731
8,9,2250,58,0,50,5.55555555555556,1.8803128665695,2.35702260395516,450,6.11146733950268,0,2.19722457733622,2.82842712474619
8,8,2000,52,1,44,5.5,1.87180217690159,2.34520787991171,352,5.8664680569333,0,2.19722457733622,2.82842712474619
11,22,5500,98,0,87,3.95454545454545,1.60030542887083,1.98860389583885,1914,7.55747290161475,0,2.484906649788,3.3166247903554
4,3,750,25,1,21,7,2.07944154167984,2.64575131106459,63,4.15888308335967,0,1.6094379124341,2
11,17,4250,79,1,68,4,1.6094379124341,2,1156,7.05358572719368,0,2.484906649788,3.3166247903554
9,2,500,11,0,2,1,0.693147180559945,1,4,1.6094379124341,0,2.30258509299405,3
4,5,1250,46,0,42,8.4,2.24070968927596,2.89827534923789,210,5.35185813347607,0,1.6094379124341,2
7,12,3000,86,0,79,6.58333333333333,2.02595285672885,2.56580071972344,948,6.85540879860993,0,2.07944154167984,2.64575131106459
11,2,500,11,0,0,0,0,0,0,0,1,2.484906649788,3.3166247903554
11,2,500,11,0,0,0,0,0,0,0,1,2.484906649788,3.3166247903554
2,6,1500,75,0,73,12.1666666666667,2.57768838323897,3.48807492274273,438,6.08449941307517,0,1.09861228866811,1.4142135623731
11,8,2000,41,1,30,3.75,1.55814461804655,1.93649167310371,240,5.48479693349065,0,2.484906649788,3.3166247903554
11,3,750,16,1,5,1.66666666666667,0.980829253011726,1.29099444873581,15,2.77258872223978,0,2.484906649788,3.3166247903554
12,13,3250,59,0,47,3.61538461538462,1.52939520476056,1.90141647604743,611,6.41673228251233,0,2.56494935746154,3.46410161513775
2,3,750,35,0,33,11,2.484906649788,3.3166247903554,99,4.60517018598809,0,1.09861228866811,1.4142135623731
16,8,2000,28,0,12,1.5,0.916290731874155,1.22474487139159,96,4.57471097850338,0,2.83321334405622,4
11,7,1750,37,0,26,3.71428571428571,1.55059741241117,1.92724822331886,182,5.20948615284142,0,2.484906649788,3.3166247903554
4,3,750,28,0,24,8,2.19722457733622,2.82842712474619,72,4.29045944114839,0,1.6094379124341,2
12,12,3000,58,0,46,3.83333333333333,1.57553636075842,1.95789002074512,552,6.31535800152233,0,2.56494935746154,3.46410161513775
4,4,1000,41,0,37,9.25,2.32727770558442,3.04138126514911,148,5.00394630594546,0,1.6094379124341,2
11,14,3500,73,1,62,4.42857142857143,1.69167601067107,2.10441712323661,868,6.76734312526539,0,2.484906649788,3.3166247903554
4,5,1250,58,0,54,10.8,2.46809953147162,3.286335345031,270,5.6021188208797,0,1.6094379124341,2
4,4,1000,43,1,39,9.75,2.37490575457367,3.1224989991992,156,5.05624580534831,0,1.6094379124341,2
3,2,500,23,0,20,10,2.39789527279837,3.16227766016838,40,3.71357206670431,0,1.38629436111989,1.73205080756888
11,8,2000,46,0,35,4.375,1.68175857401373,2.09165006633519,280,5.63835466933375,0,2.484906649788,3.3166247903554
4,7,1750,82,0,78,11.1428571428571,2.496741107435,3.33809184158512,546,6.30444880242198,0,1.6094379124341,2
13,4,1000,21,0,8,2,1.09861228866811,1.4142135623731,32,3.49650756146648,0,2.63905732961526,3.60555127546399
16,7,1750,28,0,12,1.71428571428571,0.998528830111127,1.30930734141595,84,4.44265125649032,0,2.83321334405622,4
7,2,500,16,0,9,4.5,1.70474809223843,2.12132034355964,18,2.94443897916644,0,2.07944154167984,2.64575131106459
4,5,1250,58,0,54,10.8,2.46809953147162,3.286335345031,270,5.6021188208797,0,1.6094379124341,2
4,5,1250,58,0,54,10.8,2.46809953147162,3.286335345031,270,5.6021188208797,0,1.6094379124341,2
4,4,1000,46,0,42,10.5,2.4423470353692,3.24037034920393,168,5.12989871492307,0,1.6094379124341,2
14,13,3250,57,0,43,3.30769230769231,1.46040233327361,1.8187062180826,559,6.32793678372919,0,2.70805020110221,3.74165738677394
4,3,750,34,0,30,10,2.39789527279837,3.16227766016838,90,4.51085950651685,0,1.6094379124341,2
14,18,4500,78,0,64,3.55555555555556,1.51634748936809,1.88561808316413,1152,7.05012252026906,0,2.70805020110221,3.74165738677394
11,8,2000,48,0,37,4.625,1.72722094809048,2.15058131676066,296,5.6937321388027,0,2.484906649788,3.3166247903554
14,16,4000,70,0,56,3.5,1.50407739677627,1.87082869338697,896,6.7990558620588,0,2.70805020110221,3.74165738677394
14,4,1000,22,1,8,2,1.09861228866811,1.4142135623731,32,3.49650756146648,0,2.70805020110221,3.74165738677394
14,5,1250,26,0,12,2.4,1.22377543162212,1.54919333848297,60,4.11087386417331,0,2.70805020110221,3.74165738677394
8,2,500,16,0,8,4,1.6094379124341,2,16,2.83321334405622,0,2.19722457733622,2.82842712474619
11,2,500,14,0,3,1.5,0.916290731874155,1.22474487139159,6,1.94591014905531,0,2.484906649788,3.3166247903554
4,2,500,23,0,19,9.5,2.35137525716348,3.08220700148449,38,3.66356164612965,0,1.6094379124341,2
14,3,750,19,1,5,1.66666666666667,0.980829253011726,1.29099444873581,15,2.77258872223978,0,2.70805020110221,3.74165738677394
16,12,3000,50,0,34,2.83333333333333,1.34373474670109,1.68325082306035,408,6.0137151560428,0,2.83321334405622,4
11,4,1000,28,0,17,4.25,1.65822807660353,2.06155281280883,68,4.23410650459726,0,2.484906649788,3.3166247903554
11,5,1250,35,0,24,4.8,1.75785791755237,2.19089023002066,120,4.79579054559674,0,2.484906649788,3.3166247903554
2,4,1000,70,0,68,17,2.89037175789616,4.12310562561766,272,5.60947179518496,0,1.09861228866811,1.4142135623731
14,5,1250,28,0,14,2.8,1.33500106673234,1.67332005306815,70,4.26267987704132,0,2.70805020110221,3.74165738677394
14,2,500,14,0,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394
14,2,500,14,0,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394
14,2,500,14,0,0,0,0,0,0,0,1,2.70805020110221,3.74165738677394
14,6,1500,34,0,20,3.33333333333333,1.46633706879343,1.82574185835055,120,4.79579054559674,0,2.70805020110221,3.74165738677394
11,5,1250,37,1,26,5.2,1.82454929205105,2.28035085019828,130,4.87519732320115,0,2.484906649788,3.3166247903554
4,5,1250,74,0,70,14,2.70805020110221,3.74165738677394,350,5.86078622346587,0,1.6094379124341,2
11,3,750,23,0,12,4,1.6094379124341,2,36,3.61091791264422,0,2.484906649788,3.3166247903554
11,5,1250,38,0,27,5.4,1.85629799036563,2.32379000772445,135,4.91265488573605,0,2.484906649788,3.3166247903554
12,9,2250,60,0,48,5.33333333333333,1.84582669049833,2.3094010767585,432,6.07073772800249,0,2.56494935746154,3.46410161513775
9,1,250,9,0,0,0,0,0,0,0,1,2.30258509299405,3
9,1,250,9,0,0,0,0,0,0,0,1,2.30258509299405,3
4,2,500,29,0,25,12.5,2.60268968544438,3.53553390593274,50,3.93182563272433,0,1.6094379124341,2
11,2,500,17,0,6,3,1.38629436111989,1.73205080756888,12,2.56494935746154,0,2.484906649788,3.3166247903554
14,4,1000,26,0,12,3,1.38629436111989,1.73205080756888,48,3.89182029811063,0,2.70805020110221,3.74165738677394
11,9,2250,72,1,61,6.77777777777778,2.05127066471314,2.60341655863555,549,6.30991827822652,0,2.484906649788,3.3166247903554
11,5,1250,41,0,30,6,1.94591014905531,2.44948974278318,150,5.01727983681492,0,2.484906649788,3.3166247903554
9,5,1250,51,1,42,8.4,2.24070968927596,2.89827534923789,210,5.35185813347607,0,2.30258509299405,3
14,8,2000,50,1,36,4.5,1.70474809223843,2.12132034355964,288,5.66642668811243,0,2.70805020110221,3.74165738677394
16,7,1750,38,0,22,3.14285714285714,1.42138568093116,1.77281052085584,154,5.04342511691925,0,2.83321334405622,4
14,2,500,16,0,2,1,0.693147180559945,1,4,1.6094379124341,0,2.70805020110221,3.74165738677394
